TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
208.7575,377942.6,214720.8,307,164428.7,78974.56,307,388.5417,305.2535,1269.505,122.0843,184.8684,4816.924,1623.871,7784.562,1197.403,M19
210.0652,353210.5,184884,307,142887.4,74254.88,307,25.24791,466.5843,1017.198,19.2508,496.7413,7477.905,1319.15,7080.699,291.3354,L19
212.018,566886.8,324744,319,381549.7,183626.2,319,290.7117,500.7437,692.564,1452.932,237.154,15031.92,3242.052,3809.857,1814.209,K19
213.2666,468121.5,239070.7,328,215184.1,106421.3,328,163.9114,202.3044,1277.345,11.76335,190.5669,9380.829,2326.408,5107.66,418.9352,J19
214.269,363775.7,203617.1,302,147087.2,75524.96,302,49.261,267.5669,2141.609,1120.726,1180.677,1255.847,1288.449,9918.114,994.5396,I19
215.4916,457239.7,275852.7,309,197078.3,101324.2,309,7271.375,1134.105,922.1305,4592.523,15.66761,7710.404,1556.195,785.9713,943.9167,H19
216.5776,363653,229411.8,295,143634.3,73773.28,295,11938.62,547.5065,-666.5278,6206.753,309.8113,20419.54,19943.82,2786.258,1375.073,G19
217.7437,487750.2,255488.8,322,254805,122474.2,322,12988.83,6524.552,1505.402,3744.413,294.4296,8004.433,1099.596,384.7523,527.3727,F19
219.1402,448476.3,193250.4,343,214907.5,98863.52,343,569.6661,374.3488,348.433,2255.451,192.3711,7257.284,1475.008,99.39714,1771.896,E19
220.6848,206289.5,149835.8,254,125626.6,76078.24,254,3577.584,280.6669,116.9215,20303.26,-8.788845,305.6645,498.0899,190.4191,543.0485,D19
221.9158,552901.9,346652.3,313,201198.8,102336.6,313,1512.149,1653.926,2394.159,7198.059,73.30436,4860.129,867.131,637.7673,542.2086,C19
222.8918,265515.9,186772.3,271,85553.73,43033.76,271,19912.95,240.732,1045.843,19627.08,-134.1128,1785.55,334.8216,-414.0513,758.4365,B19
223.8845,204675.9,136143.8,260,145279.8,84458.08,260,43048.95,2388.263,107.8595,13136.03,146.4045,23080.04,12806,-473.6503,1132.161,A19
225.7461,232794.2,155335,268,92682.52,52358.88,268,16215.25,225.7304,286.0136,26526.64,-34.96489,1384.375,1007.173,66.93629,728.4282,C21
226.5855,295497.9,202692,278,80796.91,46760,278,48903.29,146.2648,838.8378,25586.08,178.5005,1862.48,1033.487,-607.0115,264.0148,D21
227.53,394870.6,260570.2,298,152469.2,78600.48,298,896.6918,61.43344,487.9108,34895.9,-582.8204,325.3441,1298.997,-2063.514,862.4041,E21
228.4481,438694.9,300697.6,296,114226.7,59680.32,296,19225.15,29466.36,797.146,9625.92,-233.3522,5518.389,381.7119,672.054,1290.477,F21
229.6767,454524.4,265060.3,308,203988.7,114001.4,308,7396.205,2013.888,2464.638,1988.68,263.2581,7208.91,836.7969,1539.562,1099.169,G21
231.1591,185623.9,128218.7,250,94653.82,55208.16,250,15863.03,108.232,139.1164,5237.147,-63.3593,20577.93,11209.03,65.53925,1336.625,H21
233.5671,356628.5,210375.2,301,110941.2,58674.56,301,231.9771,1060.916,2919.279,1247.029,736.6157,113.959,563.8578,6986.385,1753.802,I21
236.5268,299294.7,179049.9,291,120659.5,57537.76,291,322.1955,1185.185,1514.751,705.1733,867.6807,285.7914,1110.768,3804.173,887.3991,J21
239.584,300323.7,191637.6,286,111383.1,66010.56,286,195.8443,113.1783,522.6724,637.4532,635.7462,360.0995,1733.877,2919.081,510.7533,K21
244.2077,284370.9,169391,289,132624.5,70218.4,289,320.4399,478.3793,798.9222,643.0266,910.1573,558.037,791.5671,5220.287,1009.385,L21
245.3626,435729.2,273656.3,307,156264.8,74777.92,307,134.2321,300.3528,1859.907,800.1768,287.1229,14461.37,1413.004,2632.218,519.3078,M21
247.7784,365998.2,216676.3,300,127945.3,66153.92,300,-3.91503,565.1348,3251.479,385.7998,259.5199,9372.318,847.9355,4195.587,1188.337,N21
